;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_64
;
; Fr 15-Dec-2017 16:54:24
;                                    Conge- Conge- 
;                        Start   End stion  stion  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151R      FR 20171215 10:00 10:15     16     96 
N15151R      FR 20171215 10:15 10:30     36    112 
N15151R      FR 20171215 10:30 10:45     22     96 
N15151R      FR 20171215 10:45 11:00      3     96 
N15151R      FR 20171215 11:00 11:15      8     96 
N15151R      FR 20171215 11:15 11:30     34    101 
N15151R      FR 20171215 11:30 11:45      8     96 
N15151R      FR 20171215 11:45 12:00     11    112 
N15151R      FR 20171215 12:00 12:15      9     94 
N15151R      FR 20171215 12:15 12:30      0    106 
N15151R      FR 20171215 12:30 12:45      4    102 
N15151R      FR 20171215 12:45 13:00     13     93 
N15151R      FR 20171215 13:00 13:15      9    102 
N15151R      FR 20171215 13:15 13:30     14     96 
N15151R      FR 20171215 13:30 13:45      8     96 
N15151R      FR 20171215 13:45 14:00     35    112 
N15151R      FR 20171215 14:00 14:15     14     96 
N15151R      FR 20171215 14:15 14:30     19     96 
N15151R      FR 20171215 14:30 14:45     13     96 
N15151R      FR 20171215 14:45 15:00      7    112 
N15151R      FR 20171215 15:00 15:15      4     96 
N15151R      FR 20171215 15:15 15:30     24     92 
N15151R      FR 20171215 15:30 15:45     13    112 
N15151R      FR 20171215 15:45 16:00     33     96 
