;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_66
;
; Fr 15-Dec-2017 16:54:34
;                                    Conge- Conge- 
;                        Start   End stion  stion  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151V      FR 20171215 10:00 10:15     29     96 
N15151V      FR 20171215 10:15 10:30      2    112 
N15151V      FR 20171215 10:30 10:45      3     96 
N15151V      FR 20171215 10:45 11:00      2     96 
N15151V      FR 20171215 11:00 11:15      1     96 
N15151V      FR 20171215 11:15 11:30      1    101 
N15151V      FR 20171215 11:30 11:45      8     96 
N15151V      FR 20171215 11:45 12:00      3    112 
N15151V      FR 20171215 12:00 12:15      2     94 
N15151V      FR 20171215 12:15 12:30      1    106 
N15151V      FR 20171215 12:30 12:45      6    102 
N15151V      FR 20171215 12:45 13:00      1     93 
N15151V      FR 20171215 13:00 13:15      1    102 
N15151V      FR 20171215 13:15 13:30      3     96 
N15151V      FR 20171215 13:30 13:45      0     96 
N15151V      FR 20171215 13:45 14:00      2    112 
N15151V      FR 20171215 14:00 14:15      0     96 
N15151V      FR 20171215 14:15 14:30      3     96 
N15151V      FR 20171215 14:30 14:45      1     96 
N15151V      FR 20171215 14:45 15:00      1    112 
N15151V      FR 20171215 15:00 15:15      3     96 
N15151V      FR 20171215 15:15 15:30      4     92 
N15151V      FR 20171215 15:30 15:45      0    112 
N15151V      FR 20171215 15:45 16:00      1     96 
