;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_30
;
; Fr 15-Dec-2017 16:33:30
;                                                  
;                        Start   End   Flow   Flow 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151F      lpu factor  17.00 lpu/veh (default)
N15151F      FR 20171215 10:00 10:15    676     96 
N15151F      FR 20171215 10:15 10:30    651    112 
N15151F      FR 20171215 10:30 10:45    754     96 
N15151F      FR 20171215 10:45 11:00    642     96 
N15151F      FR 20171215 11:00 11:15    629     96 
N15151F      FR 20171215 11:15 11:30    551    101 
N15151F      FR 20171215 11:30 11:45    726     96 
N15151F      FR 20171215 11:45 12:00    588    112 
N15151F      FR 20171215 12:00 12:15    507     94 
N15151F      FR 20171215 12:15 12:30    566    106 
N15151F      FR 20171215 12:30 12:45    473    102 
N15151F      FR 20171215 12:45 13:00    530     93 
N15151F      FR 20171215 13:00 13:15    449    102 
N15151F      FR 20171215 13:15 13:30    567     96 
N15151F      FR 20171215 13:30 13:45    564     96 
N15151F      FR 20171215 13:45 14:00    709    112 
N15151F      FR 20171215 14:00 14:15    579     96 
N15151F      FR 20171215 14:15 14:30    605     96 
N15151F      FR 20171215 14:30 14:45    734     96 
N15151F      FR 20171215 14:45 15:00    685    112 
N15151F      FR 20171215 15:00 15:15    716     96 
N15151F      FR 20171215 15:15 15:30    588     92 
N15151F      FR 20171215 15:30 15:45    685    112 
N15151F      FR 20171215 15:45 16:00    712     96 
