;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_32
;
; Fr 15-Dec-2017 16:40:15
;                                                  
;                        Start   End   Flow   Flow 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151H      lpu factor  17.00 lpu/veh (default)
N15151H      FR 20171215 10:00 10:15    889     96 
N15151H      FR 20171215 10:15 10:30    654    112 
N15151H      FR 20171215 10:30 10:45    737     96 
N15151H      FR 20171215 10:45 11:00    798     96 
N15151H      FR 20171215 11:00 11:15    629     96 
N15151H      FR 20171215 11:15 11:30    710    101 
N15151H      FR 20171215 11:30 11:45    665     96 
N15151H      FR 20171215 11:45 12:00    654    112 
N15151H      FR 20171215 12:00 12:15    588     94 
N15151H      FR 20171215 12:15 12:30    675    106 
N15151H      FR 20171215 12:30 12:45    650    102 
N15151H      FR 20171215 12:45 13:00    850     93 
N15151H      FR 20171215 13:00 13:15    763    102 
N15151H      FR 20171215 13:15 13:30    818     96 
N15151H      FR 20171215 13:30 13:45    933     96 
N15151H      FR 20171215 13:45 14:00    850    112 
N15151H      FR 20171215 14:00 14:15    832     96 
N15151H      FR 20171215 14:15 14:30    951     96 
N15151H      FR 20171215 14:30 14:45    814     96 
N15151H      FR 20171215 14:45 15:00    840    112 
N15151H      FR 20171215 15:00 15:15    890     96 
N15151H      FR 20171215 15:15 15:30    912     92 
N15151H      FR 20171215 15:30 15:45    933    112 
N15151H      FR 20171215 15:45 16:00    964     96 
