;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_36
;
; Fr 15-Dec-2017 16:41:13
;                                                  
;                        Start   End   Flow   Flow 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151O      lpu factor  17.00 lpu/veh (default)
N15151O      FR 20171215 10:00 10:15    200     96 
N15151O      FR 20171215 10:15 10:30    183    112 
N15151O      FR 20171215 10:30 10:45    146     96 
N15151O      FR 20171215 10:45 11:00    246     96 
N15151O      FR 20171215 11:00 11:15    223     96 
N15151O      FR 20171215 11:15 11:30    215    101 
N15151O      FR 20171215 11:30 11:45    217     96 
N15151O      FR 20171215 11:45 12:00    226    112 
N15151O      FR 20171215 12:00 12:15    169     94 
N15151O      FR 20171215 12:15 12:30    226    106 
N15151O      FR 20171215 12:30 12:45    203    102 
N15151O      FR 20171215 12:45 13:00    169     93 
N15151O      FR 20171215 13:00 13:15    218    102 
N15151O      FR 20171215 13:15 13:30    217     96 
N15151O      FR 20171215 13:30 13:45    231     96 
N15151O      FR 20171215 13:45 14:00    259    112 
N15151O      FR 20171215 14:00 14:15    192     96 
N15151O      FR 20171215 14:15 14:30    195     96 
N15151O      FR 20171215 14:30 14:45    195     96 
N15151O      FR 20171215 14:45 15:00    244    112 
N15151O      FR 20171215 15:00 15:15    205     96 
N15151O      FR 20171215 15:15 15:30    216     92 
N15151O      FR 20171215 15:30 15:45    188    112 
N15151O      FR 20171215 15:45 16:00    197     96 
