;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_67
;
; Fr 15-Dec-2017 16:55:22
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151F      FR 20171215 10:00 10:15     39     92 
N15151F      FR 20171215 10:15 10:30     41     96 
N15151F      FR 20171215 10:30 10:45     41    109 
N15151F      FR 20171215 10:45 11:00     39     95 
N15151F      FR 20171215 11:00 11:15     33     98 
N15151F      FR 20171215 11:15 11:30     35     99 
N15151F      FR 20171215 11:30 11:45     44     99 
N15151F      FR 20171215 11:45 12:00     33    100 
N15151F      FR 20171215 12:00 12:15     32    110 
N15151F      FR 20171215 12:15 12:30     43     94 
N15151F      FR 20171215 12:30 12:45     34    102 
N15151F      FR 20171215 12:45 13:00     40     95 
N15151F      FR 20171215 13:00 13:15     31    101 
N15151F      FR 20171215 13:15 13:30     33     99 
N15151F      FR 20171215 13:30 13:45     33     96 
N15151F      FR 20171215 13:45 14:00     40    109 
N15151F      FR 20171215 14:00 14:15     36     94 
N15151F      FR 20171215 14:15 14:30     37    109 
N15151F      FR 20171215 14:30 14:45     40    101 
N15151F      FR 20171215 14:45 15:00     42     97 
N15151F      FR 20171215 15:00 15:15     43     97 
N15151F      FR 20171215 15:15 15:30     35     97 
N15151F      FR 20171215 15:30 15:45     37    100 
N15151F      FR 20171215 15:45 16:00     42    109 
