;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_68
;
; Fr 15-Dec-2017 16:55:28
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151H      FR 20171215 10:00 10:15     49     92 
N15151H      FR 20171215 10:15 10:30     39     96 
N15151H      FR 20171215 10:30 10:45     39    109 
N15151H      FR 20171215 10:45 11:00     43     95 
N15151H      FR 20171215 11:00 11:15     29     98 
N15151H      FR 20171215 11:15 11:30     45     99 
N15151H      FR 20171215 11:30 11:45     37     99 
N15151H      FR 20171215 11:45 12:00     35    100 
N15151H      FR 20171215 12:00 12:15     35    110 
N15151H      FR 20171215 12:15 12:30     46     94 
N15151H      FR 20171215 12:30 12:45     46    102 
N15151H      FR 20171215 12:45 13:00     58     95 
N15151H      FR 20171215 13:00 13:15     52    101 
N15151H      FR 20171215 13:15 13:30     43     99 
N15151H      FR 20171215 13:30 13:45     52     96 
N15151H      FR 20171215 13:45 14:00     47    109 
N15151H      FR 20171215 14:00 14:15     48     94 
N15151H      FR 20171215 14:15 14:30     49    109 
N15151H      FR 20171215 14:30 14:45     43    101 
N15151H      FR 20171215 14:45 15:00     50     97 
N15151H      FR 20171215 15:00 15:15     48     97 
N15151H      FR 20171215 15:15 15:30     47     97 
N15151H      FR 20171215 15:30 15:45     49    100 
N15151H      FR 20171215 15:45 16:00     53    109 
