;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_69
;
; Fr 15-Dec-2017 16:55:32
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151L      FR 20171215 10:00 10:15     16    109 
N15151L      FR 20171215 10:15 10:30     17     96 
N15151L      FR 20171215 10:30 10:45     29    109 
N15151L      FR 20171215 10:45 11:00     21     95 
N15151L      FR 20171215 11:00 11:15     12     98 
N15151L      FR 20171215 11:15 11:30     16     99 
N15151L      FR 20171215 11:30 11:45     15     99 
N15151L      FR 20171215 11:45 12:00     26    100 
N15151L      FR 20171215 12:00 12:15     11     97 
N15151L      FR 20171215 12:15 12:30     15    106 
N15151L      FR 20171215 12:30 12:45     14    102 
N15151L      FR 20171215 12:45 13:00     28     96 
N15151L      FR 20171215 13:00 13:15     16    101 
N15151L      FR 20171215 13:15 13:30     28     99 
N15151L      FR 20171215 13:30 13:45     28     96 
N15151L      FR 20171215 13:45 14:00     27    109 
N15151L      FR 20171215 14:00 14:15     15     94 
N15151L      FR 20171215 14:15 14:30     44     95 
N15151L      FR 20171215 14:30 14:45     37     98 
N15151L      FR 20171215 14:45 15:00     22    114 
N15151L      FR 20171215 15:00 15:15     35     97 
N15151L      FR 20171215 15:15 15:30     44     96 
N15151L      FR 20171215 15:30 15:45     46     99 
N15151L      FR 20171215 15:45 16:00     34     94 
