;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_70
;
; Fr 15-Dec-2017 16:55:36
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151O      FR 20171215 10:00 10:15     40    109 
N15151O      FR 20171215 10:15 10:30     32     96 
N15151O      FR 20171215 10:30 10:45     30     92 
N15151O      FR 20171215 10:45 11:00     42    112 
N15151O      FR 20171215 11:00 11:15     51     99 
N15151O      FR 20171215 11:15 11:30     32     98 
N15151O      FR 20171215 11:30 11:45     43     99 
N15151O      FR 20171215 11:45 12:00     42    101 
N15151O      FR 20171215 12:00 12:15     29     96 
N15151O      FR 20171215 12:15 12:30     36    106 
N15151O      FR 20171215 12:30 12:45     36     92 
N15151O      FR 20171215 12:45 13:00     25    107 
N15151O      FR 20171215 13:00 13:15     42    101 
N15151O      FR 20171215 13:15 13:30     44     99 
N15151O      FR 20171215 13:30 13:45     41     96 
N15151O      FR 20171215 13:45 14:00     48     93 
N15151O      FR 20171215 14:00 14:15     41    109 
N15151O      FR 20171215 14:15 14:30     37     95 
N15151O      FR 20171215 14:30 14:45     40     99 
N15151O      FR 20171215 14:45 15:00     50     98 
N15151O      FR 20171215 15:00 15:15     38    112 
N15151O      FR 20171215 15:15 15:30     41     96 
N15151O      FR 20171215 15:30 15:45     46     99 
N15151O      FR 20171215 15:45 16:00     44     94 
