;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_73
;
; Fr 15-Dec-2017 16:55:48
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151V      FR 20171215 10:00 10:15      0     92 
N15151V      FR 20171215 10:15 10:30      0     96 
N15151V      FR 20171215 10:30 10:45      0    109 
N15151V      FR 20171215 10:45 11:00      0     95 
N15151V      FR 20171215 11:00 11:15      0     98 
N15151V      FR 20171215 11:15 11:30      0     99 
N15151V      FR 20171215 11:30 11:45      0     99 
N15151V      FR 20171215 11:45 12:00      0    100 
N15151V      FR 20171215 12:00 12:15      0    110 
N15151V      FR 20171215 12:15 12:30      0     94 
N15151V      FR 20171215 12:30 12:45      0    102 
N15151V      FR 20171215 12:45 13:00      0     95 
N15151V      FR 20171215 13:00 13:15      0    101 
N15151V      FR 20171215 13:15 13:30      0     99 
N15151V      FR 20171215 13:30 13:45      0     96 
N15151V      FR 20171215 13:45 14:00      0    109 
N15151V      FR 20171215 14:00 14:15      0     94 
N15151V      FR 20171215 14:15 14:30      0    109 
N15151V      FR 20171215 14:30 14:45      0    101 
N15151V      FR 20171215 14:45 15:00      0     97 
N15151V      FR 20171215 15:00 15:15      0     97 
N15151V      FR 20171215 15:15 15:30      0     97 
N15151V      FR 20171215 15:30 15:45      0    100 
N15151V      FR 20171215 15:45 16:00      0    109 
