;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_45
;
; Fr 15-Dec-2017 16:50:35
;                                                  
;                        Start   End  Stops  Stops 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151F      lpu factor  17.00 lpu/veh (default)
N15151F      FR 20171215 10:00 10:15    379     96 
N15151F      FR 20171215 10:15 10:30    351    112 
N15151F      FR 20171215 10:30 10:45    417     96 
N15151F      FR 20171215 10:45 11:00    350     96 
N15151F      FR 20171215 11:00 11:15    336     96 
N15151F      FR 20171215 11:15 11:30    371    101 
N15151F      FR 20171215 11:30 11:45    395     96 
N15151F      FR 20171215 11:45 12:00    220    112 
N15151F      FR 20171215 12:00 12:15    304     94 
N15151F      FR 20171215 12:15 12:30    514    106 
N15151F      FR 20171215 12:30 12:45    415    102 
N15151F      FR 20171215 12:45 13:00    476     93 
N15151F      FR 20171215 13:00 13:15    381    102 
N15151F      FR 20171215 13:15 13:30    344     96 
N15151F      FR 20171215 13:30 13:45    268     96 
N15151F      FR 20171215 13:45 14:00    370    112 
N15151F      FR 20171215 14:00 14:15    276     96 
N15151F      FR 20171215 14:15 14:30    340     96 
N15151F      FR 20171215 14:30 14:45    373     96 
N15151F      FR 20171215 14:45 15:00    407    112 
N15151F      FR 20171215 15:00 15:15    360     96 
N15151F      FR 20171215 15:15 15:30    299     92 
N15151F      FR 20171215 15:30 15:45    383    112 
N15151F      FR 20171215 15:45 16:00    346     96 
