;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_46
;
; Fr 15-Dec-2017 16:50:45
;                                                  
;                        Start   End  Stops  Stops 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151H      lpu factor  17.00 lpu/veh (default)
N15151H      FR 20171215 10:00 10:15    495     96 
N15151H      FR 20171215 10:15 10:30    349    112 
N15151H      FR 20171215 10:30 10:45    483     96 
N15151H      FR 20171215 10:45 11:00    426     96 
N15151H      FR 20171215 11:00 11:15    316     96 
N15151H      FR 20171215 11:15 11:30    490    101 
N15151H      FR 20171215 11:30 11:45    366     96 
N15151H      FR 20171215 11:45 12:00    297    112 
N15151H      FR 20171215 12:00 12:15    380     94 
N15151H      FR 20171215 12:15 12:30    571    106 
N15151H      FR 20171215 12:30 12:45    432    102 
N15151H      FR 20171215 12:45 13:00    721     93 
N15151H      FR 20171215 13:00 13:15    551    102 
N15151H      FR 20171215 13:15 13:30    626     96 
N15151H      FR 20171215 13:30 13:45    645     96 
N15151H      FR 20171215 13:45 14:00    647    112 
N15151H      FR 20171215 14:00 14:15    549     96 
N15151H      FR 20171215 14:15 14:30    687     96 
N15151H      FR 20171215 14:30 14:45    564     96 
N15151H      FR 20171215 14:45 15:00    491    112 
N15151H      FR 20171215 15:00 15:15    696     96 
N15151H      FR 20171215 15:15 15:30    678     92 
N15151H      FR 20171215 15:30 15:45    670    112 
N15151H      FR 20171215 15:45 16:00    693     96 
