;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_48
;
; Fr 15-Dec-2017 16:50:57
;                                                  
;                        Start   End  Stops  Stops 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151O      lpu factor  17.00 lpu/veh (default)
N15151O      FR 20171215 10:00 10:15    158     96 
N15151O      FR 20171215 10:15 10:30    166    112 
N15151O      FR 20171215 10:30 10:45    118     96 
N15151O      FR 20171215 10:45 11:00    204     96 
N15151O      FR 20171215 11:00 11:15    200     96 
N15151O      FR 20171215 11:15 11:30    196    101 
N15151O      FR 20171215 11:30 11:45    211     96 
N15151O      FR 20171215 11:45 12:00    191    112 
N15151O      FR 20171215 12:00 12:15    130     94 
N15151O      FR 20171215 12:15 12:30    189    106 
N15151O      FR 20171215 12:30 12:45    165    102 
N15151O      FR 20171215 12:45 13:00    142     93 
N15151O      FR 20171215 13:00 13:15    190    102 
N15151O      FR 20171215 13:15 13:30    195     96 
N15151O      FR 20171215 13:30 13:45    211     96 
N15151O      FR 20171215 13:45 14:00    236    112 
N15151O      FR 20171215 14:00 14:15    167     96 
N15151O      FR 20171215 14:15 14:30    184     96 
N15151O      FR 20171215 14:30 14:45    175     96 
N15151O      FR 20171215 14:45 15:00    236    112 
N15151O      FR 20171215 15:00 15:15    195     96 
N15151O      FR 20171215 15:15 15:30    203     92 
N15151O      FR 20171215 15:30 15:45    172    112 
N15151O      FR 20171215 15:45 16:00    185     96 
