;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_88
;
; Fr 15-Dec-2017 17:03:04
;                                    Conge- Conge- 
;                        Start   End stion  stion  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151       FR 20171215 10:00 10:15     46     96 
N15151       FR 20171215 10:15 10:30     38    112 
N15151       FR 20171215 10:30 10:45     25     96 
N15151       FR 20171215 10:45 11:00      5     96 
N15151       FR 20171215 11:00 11:15     15     96 
N15151       FR 20171215 11:15 11:30     35    101 
N15151       FR 20171215 11:30 11:45     17     96 
N15151       FR 20171215 11:45 12:00     15    112 
N15151       FR 20171215 12:00 12:15     12     94 
N15151       FR 20171215 12:15 12:30      7    106 
N15151       FR 20171215 12:30 12:45     10    102 
N15151       FR 20171215 12:45 13:00     14     93 
N15151       FR 20171215 13:00 13:15     10    102 
N15151       FR 20171215 13:15 13:30     17     96 
N15151       FR 20171215 13:30 13:45     10     96 
N15151       FR 20171215 13:45 14:00     36    112 
N15151       FR 20171215 14:00 14:15     14     96 
N15151       FR 20171215 14:15 14:30     25     96 
N15151       FR 20171215 14:30 14:45     15     96 
N15151       FR 20171215 14:45 15:00      8    112 
N15151       FR 20171215 15:00 15:15      7     96 
N15151       FR 20171215 15:15 15:30     28     92 
N15151       FR 20171215 15:30 15:45     21    112 
N15151       FR 20171215 15:45 16:00     55     96 
