;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_87
;
; Fr 15-Dec-2017 17:02:36
;                                                  
;                        Start   End  Delay  Delay 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm    veh        
;----------- -- -------- ----- ----- ------ ------ 
; N15151       lpu factor  17.00 lpu/veh (default)
N15151       FR 20171215 10:00 10:15   12.2     96 
N15151       FR 20171215 10:15 10:30   10.1    112 
N15151       FR 20171215 10:30 10:45   10.1     96 
N15151       FR 20171215 10:45 11:00   11.6     96 
N15151       FR 20171215 11:00 11:15   10.9     96 
N15151       FR 20171215 11:15 11:30   11.7    101 
N15151       FR 20171215 11:30 11:45   12.9     96 
N15151       FR 20171215 11:45 12:00    9.5    112 
N15151       FR 20171215 12:00 12:15    8.6     94 
N15151       FR 20171215 12:15 12:30   12.4    106 
N15151       FR 20171215 12:30 12:45    9.4    102 
N15151       FR 20171215 12:45 13:00   12.0     93 
N15151       FR 20171215 13:00 13:15   11.6    102 
N15151       FR 20171215 13:15 13:30   14.6     96 
N15151       FR 20171215 13:30 13:45   12.7     96 
N15151       FR 20171215 13:45 14:00   12.9    112 
N15151       FR 20171215 14:00 14:15   11.4     96 
N15151       FR 20171215 14:15 14:30   12.4     96 
N15151       FR 20171215 14:30 14:45   10.0     96 
N15151       FR 20171215 14:45 15:00   15.3    112 
N15151       FR 20171215 15:00 15:15   15.5     96 
N15151       FR 20171215 15:15 15:30   11.8     92 
N15151       FR 20171215 15:30 15:45   13.2    112 
N15151       FR 20171215 15:45 16:00   13.6     96 
