;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_84
;
; Fr 15-Dec-2017 17:01:17
;                                                  
;                        Start   End   Flow   Flow 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151       lpu factor  17.00 lpu/veh (default)
N15151       FR 20171215 10:00 10:15   1808     96 
N15151       FR 20171215 10:15 10:30   1531    112 
N15151       FR 20171215 10:30 10:45   1699     96 
N15151       FR 20171215 10:45 11:00   1771     96 
N15151       FR 20171215 11:00 11:15   1516     96 
N15151       FR 20171215 11:15 11:30   1539    101 
N15151       FR 20171215 11:30 11:45   1650     96 
N15151       FR 20171215 11:45 12:00   1539    112 
N15151       FR 20171215 12:00 12:15   1300     94 
N15151       FR 20171215 12:15 12:30   1525    106 
N15151       FR 20171215 12:30 12:45   1379    102 
N15151       FR 20171215 12:45 13:00   1643     93 
N15151       FR 20171215 13:00 13:15   1498    102 
N15151       FR 20171215 13:15 13:30   1690     96 
N15151       FR 20171215 13:30 13:45   1791     96 
N15151       FR 20171215 13:45 14:00   1905    112 
N15151       FR 20171215 14:00 14:15   1652     96 
N15151       FR 20171215 14:15 14:30   1874     96 
N15151       FR 20171215 14:30 14:45   1853     96 
N15151       FR 20171215 14:45 15:00   1829    112 
N15151       FR 20171215 15:00 15:15   1902     96 
N15151       FR 20171215 15:15 15:30   1828     92 
N15151       FR 20171215 15:30 15:45   1962    112 
N15151       FR 20171215 15:45 16:00   1965     96 
