;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_89
;
; Fr 15-Dec-2017 17:03:42
;                                    Satur- Satur- 
;                        Start   End ation  ation  
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm      %        
;----------- -- -------- ----- ----- ------ ------ 
N15151       FR 20171215 10:00 10:15    200     71 
N15151       FR 20171215 10:15 10:30    182     69 
N15151       FR 20171215 10:30 10:45    197     75 
N15151       FR 20171215 10:45 11:00    206     70 
N15151       FR 20171215 11:00 11:15    176     70 
N15151       FR 20171215 11:15 11:30    182     71 
N15151       FR 20171215 11:30 11:45    196     71 
N15151       FR 20171215 11:45 12:00    191     72 
N15151       FR 20171215 12:00 12:15    151     75 
N15151       FR 20171215 12:15 12:30    198     71 
N15151       FR 20171215 12:30 12:45    181     72 
N15151       FR 20171215 12:45 13:00    211     70 
N15151       FR 20171215 13:00 13:15    198     72 
N15151       FR 20171215 13:15 13:30    211     71 
N15151       FR 20171215 13:30 13:45    216     69 
N15151       FR 20171215 13:45 14:00    224     76 
N15151       FR 20171215 14:00 14:15    200     69 
N15151       FR 20171215 14:15 14:30    233     74 
N15151       FR 20171215 14:30 14:45    225     72 
N15151       FR 20171215 14:45 15:00    228     72 
N15151       FR 20171215 15:00 15:15    231     71 
N15151       FR 20171215 15:15 15:30    236     69 
N15151       FR 20171215 15:30 15:45    251     71 
N15151       FR 20171215 15:45 16:00    240     74 
