;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_86
;
; Fr 15-Dec-2017 17:02:13
;                                                  
;                        Start   End  Stops  Stops 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm  veh/h        
;----------- -- -------- ----- ----- ------ ------ 
; N15151       lpu factor  17.00 lpu/veh (default)
N15151       FR 20171215 10:00 10:15   1031     96 
N15151       FR 20171215 10:15 10:30    867    112 
N15151       FR 20171215 10:30 10:45   1018     96 
N15151       FR 20171215 10:45 11:00    980     96 
N15151       FR 20171215 11:00 11:15    852     96 
N15151       FR 20171215 11:15 11:30   1059    101 
N15151       FR 20171215 11:30 11:45    973     96 
N15151       FR 20171215 11:45 12:00    709    112 
N15151       FR 20171215 12:00 12:15    814     94 
N15151       FR 20171215 12:15 12:30   1275    106 
N15151       FR 20171215 12:30 12:45   1013    102 
N15151       FR 20171215 12:45 13:00   1339     93 
N15151       FR 20171215 13:00 13:15   1122    102 
N15151       FR 20171215 13:15 13:30   1165     96 
N15151       FR 20171215 13:30 13:45   1123     96 
N15151       FR 20171215 13:45 14:00   1253    112 
N15151       FR 20171215 14:00 14:15    992     96 
N15151       FR 20171215 14:15 14:30   1211     96 
N15151       FR 20171215 14:30 14:45   1113     96 
N15151       FR 20171215 14:45 15:00   1135    112 
N15151       FR 20171215 15:00 15:15   1251     96 
N15151       FR 20171215 15:15 15:30   1182     92 
N15151       FR 20171215 15:30 15:45   1226    112 
N15151       FR 20171215 15:45 16:00   1224     96 
